Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,21.7,-20.4,90.0,top
C2,100n,C_0402_1005Metric,26.7,-20.4,90.0,top
C3,100n,C_0402_1005Metric,31.7,-20.4,90.0,top
C4,100n,C_0402_1005Metric,36.7,-20.4,90.0,top
C5,100n,C_0402_1005Metric,41.7,-20.4,90.0,top
C6,100n,C_0402_1005Metric,46.7,-20.4,90.0,top
C7,100n,C_0402_1005Metric,51.7,-20.4,90.0,top
C8,100n,C_0402_1005Metric,56.7,-20.4,90.0,top
C9,100n,C_0402_1005Metric,61.7,-20.4,90.0,top
C10,100n,C_0402_1005Metric,66.7,-20.4,90.0,top
C11,100n,C_0402_1005Metric,21.7,-25.4,90.0,top
C12,100n,C_0402_1005Metric,26.7,-25.4,90.0,top
C13,100n,C_0402_1005Metric,31.7,-25.4,90.0,top
C14,100n,C_0402_1005Metric,36.7,-25.4,90.0,top
C15,100n,C_0402_1005Metric,41.7,-25.4,90.0,top
C16,100n,C_0402_1005Metric,46.7,-25.4,90.0,top
C17,100n,C_0402_1005Metric,51.7,-25.4,90.0,top
C18,100n,C_0402_1005Metric,56.7,-25.4,90.0,top
C19,100n,C_0402_1005Metric,61.7,-25.4,90.0,top
C20,100n,C_0402_1005Metric,66.7,-25.4,90.0,top
C21,100n,C_0402_1005Metric,21.7,-30.4,90.0,top
C22,100n,C_0402_1005Metric,26.7,-30.4,90.0,top
C23,100n,C_0402_1005Metric,31.7,-30.4,90.0,top
C24,100n,C_0402_1005Metric,36.7,-30.4,90.0,top
C25,100n,C_0402_1005Metric,41.7,-30.4,90.0,top
C26,100n,C_0402_1005Metric,46.7,-30.4,90.0,top
C27,100n,C_0402_1005Metric,51.7,-30.4,90.0,top
C28,100n,C_0402_1005Metric,56.7,-30.4,90.0,top
C29,100n,C_0402_1005Metric,61.7,-30.4,90.0,top
C30,100n,C_0402_1005Metric,66.7,-30.4,90.0,top
C31,100n,C_0402_1005Metric,21.7,-35.4,90.0,top
C32,100n,C_0402_1005Metric,26.7,-35.4,90.0,top
C33,100n,C_0402_1005Metric,31.7,-35.4,90.0,top
C34,100n,C_0402_1005Metric,36.7,-35.4,90.0,top
C35,100n,C_0402_1005Metric,41.7,-35.4,90.0,top
C36,100n,C_0402_1005Metric,46.7,-35.4,90.0,top
C37,100n,C_0402_1005Metric,51.7,-35.4,90.0,top
C38,100n,C_0402_1005Metric,56.7,-35.4,90.0,top
C39,100n,C_0402_1005Metric,61.7,-35.4,90.0,top
C40,100n,C_0402_1005Metric,66.7,-35.4,90.0,top
C41,100n,C_0402_1005Metric,21.7,-40.4,90.0,top
C42,100n,C_0402_1005Metric,26.7,-40.4,90.0,top
C43,100n,C_0402_1005Metric,31.7,-40.4,90.0,top
C44,100n,C_0402_1005Metric,36.7,-40.4,90.0,top
C45,100n,C_0402_1005Metric,41.7,-40.4,90.0,top
C46,100n,C_0402_1005Metric,46.7,-40.4,90.0,top
C47,100n,C_0402_1005Metric,51.7,-40.4,90.0,top
C48,100n,C_0402_1005Metric,56.7,-40.4,90.0,top
C49,100n,C_0402_1005Metric,61.7,-40.4,90.0,top
C50,100n,C_0402_1005Metric,66.7,-40.4,90.0,top
C51,100n,C_0402_1005Metric,21.7,-45.4,90.0,top
C52,100n,C_0402_1005Metric,26.7,-45.4,90.0,top
C53,100n,C_0402_1005Metric,31.7,-45.4,90.0,top
C54,100n,C_0402_1005Metric,36.7,-45.4,90.0,top
C55,100n,C_0402_1005Metric,41.7,-45.4,90.0,top
